"","chromosome","position","type"
"chr1_gl000191_random_458260","chr1_gl000191_random",458260,"exon"
"chr1_gl000191_random_448963","chr1_gl000191_random",448963,"noncoding"
"chr1_gl000191_random_63411","chr1_gl000191_random",63411,"exon"
"chr1_gl000191_random_369536","chr1_gl000191_random",369536,"intron"
"chr1_gl000191_random_36868","chr1_gl000191_random",36868,"intron"
"chr1_gl000191_random_237945","chr1_gl000191_random",237945,"noncoding"
"chr1_gl000191_random_452031","chr1_gl000191_random",452031,"intron"
"chr1_gl000191_random_190059","chr1_gl000191_random",190059,"intron"
"chr1_gl000191_random_422947","chr1_gl000191_random",422947,"noncoding"
"chr1_gl000191_random_776945","chr1_gl000191_random",776945,"intron"
"chr1_gl000191_random_108694","chr1_gl000191_random",108694,"noncoding"
"chr1_gl000191_random_358663","chr1_gl000191_random",358663,"noncoding"
"chr1_gl000191_random_619747","chr1_gl000191_random",619747,"exon"
"chr1_gl000191_random_345664","chr1_gl000191_random",345664,"exon"
"chr1_gl000191_random_526039","chr1_gl000191_random",526039,"noncoding"
"chr1_gl000191_random_882539","chr1_gl000191_random",882539,"exon"
"chr1_gl000191_random_756194","chr1_gl000191_random",756194,"intron"
"chr1_gl000191_random_866824","chr1_gl000191_random",866824,"noncoding"
"chr1_gl000191_random_134141","chr1_gl000191_random",134141,"exon"
"chr1_gl000191_random_514715","chr1_gl000191_random",514715,"exon"
"chr1_gl000191_random_739049","chr1_gl000191_random",739049,"exon"
"chr1_gl000191_random_932431","chr1_gl000191_random",932431,"exon"
"chr1_gl000191_random_903591","chr1_gl000191_random",903591,"exon"
"chr1_gl000191_random_886590","chr1_gl000191_random",886590,"noncoding"
"chr1_gl000191_random_301932","chr1_gl000191_random",301932,"intron"
"chr1_gl000191_random_232847","chr1_gl000191_random",232847,"noncoding"
"chr1_gl000191_random_705783","chr1_gl000191_random",705783,"exon"
"chr1_gl000191_random_342952","chr1_gl000191_random",342952,"exon"
"chr1_gl000191_random_386996","chr1_gl000191_random",386996,"exon"
"chr1_gl000191_random_279290","chr1_gl000191_random",279290,"noncoding"
"chr1_gl000191_random_488615","chr1_gl000191_random",488615,"noncoding"
"chr1_gl000191_random_675366","chr1_gl000191_random",675366,"intron"
"chr1_gl000191_random_478163","chr1_gl000191_random",478163,"noncoding"
"chr1_gl000191_random_773435","chr1_gl000191_random",773435,"exon"
"chr1_gl000191_random_580137","chr1_gl000191_random",580137,"noncoding"
"chr1_gl000191_random_160170","chr1_gl000191_random",160170,"exon"
"chr1_gl000191_random_446067","chr1_gl000191_random",446067,"exon"
"chr1_gl000191_random_822982","chr1_gl000191_random",822982,"intron"
"chr1_gl000191_random_279556","chr1_gl000191_random",279556,"noncoding"
"chr1_gl000191_random_198448","chr1_gl000191_random",198448,"noncoding"
"chr1_gl000191_random_389893","chr1_gl000191_random",389893,"noncoding"
"chr1_gl000191_random_764333","chr1_gl000191_random",764333,"exon"
"chr1_gl000191_random_686653","chr1_gl000191_random",686653,"noncoding"
"chr1_gl000191_random_954287","chr1_gl000191_random",954287,"exon"
"chr1_gl000191_random_946885","chr1_gl000191_random",946885,"intron"
"chr1_gl000191_random_983602","chr1_gl000191_random",983602,"noncoding"
"chr1_gl000191_random_549053","chr1_gl000191_random",549053,"intron"
"chr1_gl000191_random_989188","chr1_gl000191_random",989188,"intron"
"chr1_gl000191_random_511768","chr1_gl000191_random",511768,"intron"
"chr1_gl000191_random_774349","chr1_gl000191_random",774349,"noncoding"
"chr1_gl000191_random_312760","chr1_gl000191_random",312760,"exon"
"chr1_gl000191_random_939444","chr1_gl000191_random",939444,"intron"
"chr1_gl000191_random_547583","chr1_gl000191_random",547583,"noncoding"
"chr1_gl000191_random_526918","chr1_gl000191_random",526918,"exon"
"chr1_gl000191_random_387880","chr1_gl000191_random",387880,"intron"
"chr1_gl000191_random_228799","chr1_gl000191_random",228799,"intron"
"chr1_gl000191_random_359654","chr1_gl000191_random",359654,"intron"
"chr1_gl000191_random_692118","chr1_gl000191_random",692118,"intron"
"chr1_gl000191_random_570121","chr1_gl000191_random",570121,"intron"
"chr1_gl000191_random_268783","chr1_gl000191_random",268783,"noncoding"
"chr1_gl000191_random_592649","chr1_gl000191_random",592649,"exon"
"chr1_gl000191_random_122952","chr1_gl000191_random",122952,"noncoding"
"chr1_gl000191_random_243933","chr1_gl000191_random",243933,"exon"
"chr1_gl000191_random_887552","chr1_gl000191_random",887552,"exon"
"chr1_gl000191_random_51333","chr1_gl000191_random",51333,"noncoding"
"chr1_gl000191_random_968435","chr1_gl000191_random",968435,"exon"
"chr1_gl000191_random_162486","chr1_gl000191_random",162486,"exon"
"chr1_gl000191_random_179272","chr1_gl000191_random",179272,"noncoding"
"chr1_gl000191_random_773375","chr1_gl000191_random",773375,"noncoding"
"chr1_gl000191_random_571648","chr1_gl000191_random",571648,"intron"
"chr1_gl000191_random_468590","chr1_gl000191_random",468590,"noncoding"
"chr1_gl000191_random_81537","chr1_gl000191_random",81537,"noncoding"
"chr1_gl000191_random_462109","chr1_gl000191_random",462109,"intron"
"chr1_gl000191_random_286838","chr1_gl000191_random",286838,"intron"
"chr1_gl000191_random_645010","chr1_gl000191_random",645010,"intron"
"chr1_gl000191_random_336276","chr1_gl000191_random",336276,"intron"
"chr1_gl000191_random_132051","chr1_gl000191_random",132051,"intron"
"chr1_gl000191_random_640876","chr1_gl000191_random",640876,"exon"
"chr1_gl000191_random_267474","chr1_gl000191_random",267474,"intron"
"chr1_gl000191_random_963651","chr1_gl000191_random",963651,"noncoding"
"chr1_gl000191_random_488171","chr1_gl000191_random",488171,"exon"
"chr1_gl000192_random_597461","chr1_gl000192_random",597461,"exon"
"chr1_gl000192_random_459761","chr1_gl000192_random",459761,"exon"
"chr1_gl000192_random_768034","chr1_gl000192_random",768034,"intron"
"chr1_gl000192_random_458736","chr1_gl000192_random",458736,"intron"
"chr1_gl000192_random_872547","chr1_gl000192_random",872547,"exon"
"chr1_gl000192_random_118809","chr1_gl000192_random",118809,"noncoding"
"chr1_gl000192_random_250492","chr1_gl000192_random",250492,"exon"
"chr1_gl000192_random_687741","chr1_gl000192_random",687741,"exon"
"chr1_gl000192_random_706684","chr1_gl000192_random",706684,"intron"
"chr1_gl000192_random_660321","chr1_gl000192_random",660321,"intron"
"chr1_gl000192_random_594130","chr1_gl000192_random",594130,"exon"
"chr1_gl000192_random_209242","chr1_gl000192_random",209242,"exon"
"chr1_gl000192_random_471362","chr1_gl000192_random",471362,"noncoding"
"chr1_gl000192_random_497302","chr1_gl000192_random",497302,"intron"
"chr1_gl000192_random_519569","chr1_gl000192_random",519569,"intron"
"chr1_gl000192_random_359066","chr1_gl000192_random",359066,"intron"
"chr1_gl000192_random_751961","chr1_gl000192_random",751961,"exon"
"chr1_gl000192_random_415659","chr1_gl000192_random",415659,"noncoding"
"chr1_gl000192_random_567986","chr1_gl000192_random",567986,"noncoding"
"chr1_gl000192_random_859923","chr1_gl000192_random",859923,"exon"
"chr1_gl000192_random_257900","chr1_gl000192_random",257900,"exon"
"chr1_gl000192_random_852983","chr1_gl000192_random",852983,"intron"
"chr1_gl000192_random_149082","chr1_gl000192_random",149082,"exon"
"chr1_gl000192_random_286369","chr1_gl000192_random",286369,"exon"
"chr1_gl000192_random_97699","chr1_gl000192_random",97699,"intron"
"chr1_gl000192_random_891642","chr1_gl000192_random",891642,"exon"
"chr1_gl000192_random_76170","chr1_gl000192_random",76170,"intron"
"chr1_gl000192_random_883622","chr1_gl000192_random",883622,"intron"
"chr1_gl000192_random_99670","chr1_gl000192_random",99670,"noncoding"
"chr1_gl000192_random_981617","chr1_gl000192_random",981617,"exon"
"chr1_gl000192_random_74702","chr1_gl000192_random",74702,"noncoding"
"chr1_gl000192_random_587759","chr1_gl000192_random",587759,"intron"
"chr1_gl000192_random_44650","chr1_gl000192_random",44650,"intron"
"chr1_gl000192_random_851030","chr1_gl000192_random",851030,"noncoding"
"chr1_gl000192_random_733549","chr1_gl000192_random",733549,"intron"
"chr1_gl000192_random_304236","chr1_gl000192_random",304236,"intron"
"chr1_gl000192_random_290464","chr1_gl000192_random",290464,"noncoding"
"chr1_gl000192_random_981833","chr1_gl000192_random",981833,"noncoding"
"chr1_gl000192_random_67686","chr1_gl000192_random",67686,"exon"
"chr1_gl000192_random_185328","chr1_gl000192_random",185328,"noncoding"
"chr1_gl000192_random_930655","chr1_gl000192_random",930655,"noncoding"
"chr1_gl000192_random_356551","chr1_gl000192_random",356551,"noncoding"
"chr1_gl000192_random_945041","chr1_gl000192_random",945041,"noncoding"
"chr1_gl000192_random_261216","chr1_gl000192_random",261216,"noncoding"
"chr1_gl000192_random_187932","chr1_gl000192_random",187932,"noncoding"
"chr1_gl000192_random_768883","chr1_gl000192_random",768883,"intron"
"chr1_gl000192_random_448296","chr1_gl000192_random",448296,"noncoding"
"chr1_gl000192_random_463487","chr1_gl000192_random",463487,"exon"
"chr1_gl000192_random_162206","chr1_gl000192_random",162206,"noncoding"
"chr1_gl000192_random_779487","chr1_gl000192_random",779487,"noncoding"
"chr1_gl000192_random_799849","chr1_gl000192_random",799849,"noncoding"
"chr1_gl000192_random_197678","chr1_gl000192_random",197678,"exon"
"chr1_gl000192_random_33513","chr1_gl000192_random",33513,"intron"
"chr1_gl000192_random_950125","chr1_gl000192_random",950125,"intron"
"chr1_gl000192_random_952903","chr1_gl000192_random",952903,"noncoding"
"chr1_gl000192_random_124797","chr1_gl000192_random",124797,"noncoding"
"chr1_gl000192_random_993180","chr1_gl000192_random",993180,"intron"
"chr1_gl000192_random_996951","chr1_gl000192_random",996951,"exon"
"chr1_gl000192_random_614100","chr1_gl000192_random",614100,"noncoding"
"chr1_gl000192_random_248767","chr1_gl000192_random",248767,"noncoding"
"chr1_gl000192_random_996754","chr1_gl000192_random",996754,"intron"
"chr1_gl000192_random_559383","chr1_gl000192_random",559383,"noncoding"
"chr1_gl000192_random_198172","chr1_gl000192_random",198172,"exon"
"chr1_gl000192_random_374696","chr1_gl000192_random",374696,"intron"
"chr1_gl000192_random_963662","chr1_gl000192_random",963662,"exon"
"chr1_gl000192_random_393091","chr1_gl000192_random",393091,"intron"
"chr1_gl000192_random_116595","chr1_gl000192_random",116595,"exon"
"chr1_gl000192_random_475750","chr1_gl000192_random",475750,"exon"
"chr1_gl000192_random_463441","chr1_gl000192_random",463441,"noncoding"
"chr1_gl000192_random_836692","chr1_gl000192_random",836692,"exon"
"chr1_gl000192_random_343198","chr1_gl000192_random",343198,"exon"
"chr1_gl000192_random_499904","chr1_gl000192_random",499904,"noncoding"
"chr1_gl000192_random_433273","chr1_gl000192_random",433273,"intron"
"chr1_gl000192_random_606633","chr1_gl000192_random",606633,"noncoding"
"chr1_gl000192_random_179267","chr1_gl000192_random",179267,"intron"
"chr1_gl000192_random_239491","chr1_gl000192_random",239491,"intron"
"chr1_gl000192_random_188058","chr1_gl000192_random",188058,"exon"
"chr1_gl000192_random_179711","chr1_gl000192_random",179711,"intron"
"chr1_gl000192_random_974263","chr1_gl000192_random",974263,"noncoding"
"chr1_gl000192_random_286241","chr1_gl000192_random",286241,"exon"
"chr1_gl000192_random_343660","chr1_gl000192_random",343660,"noncoding"
"chr1_gl000192_random_138412","chr1_gl000192_random",138412,"intron"
"chr1_gl000192_random_595075","chr1_gl000192_random",595075,"intron"
"chr1_gl000192_random_985674","chr1_gl000192_random",985674,"intron"
"chr1_gl000192_random_790703","chr1_gl000192_random",790703,"intron"
"chr1_gl000192_random_561059","chr1_gl000192_random",561059,"exon"
"chr1_gl000192_random_809908","chr1_gl000192_random",809908,"exon"
"chr1_gl000192_random_345540","chr1_gl000192_random",345540,"exon"
"chr1_gl000192_random_833029","chr1_gl000192_random",833029,"noncoding"
"chr1_gl000192_random_573168","chr1_gl000192_random",573168,"intron"
"chr1_gl000192_random_430230","chr1_gl000192_random",430230,"noncoding"
"chr1_gl000192_random_894690","chr1_gl000192_random",894690,"intron"
"chr1_gl000192_random_943233","chr1_gl000192_random",943233,"noncoding"
"chr1_gl000192_random_90933","chr1_gl000192_random",90933,"exon"
"chr1_gl000192_random_634686","chr1_gl000192_random",634686,"noncoding"
"chr1_gl000192_random_824048","chr1_gl000192_random",824048,"exon"
"chr1_gl000192_random_386897","chr1_gl000192_random",386897,"intron"
"chr1_gl000192_random_801849","chr1_gl000192_random",801849,"exon"
"chr1_gl000192_random_358863","chr1_gl000192_random",358863,"noncoding"
"chr1_gl000192_random_133424","chr1_gl000192_random",133424,"intron"
"chr10_464941","chr10",464941,"exon"
"chr10_714236","chr10",714236,"intron"
"chr10_86885","chr10",86885,"intron"
"chr10_249864","chr10",249864,"exon"
"chr10_111296","chr10",111296,"intron"
"chr10_712526","chr10",712526,"exon"
"chr10_410407","chr10",410407,"exon"
"chr10_264764","chr10",264764,"intron"
"chr10_565668","chr10",565668,"exon"
"chr10_855696","chr10",855696,"intron"
"chr10_688683","chr10",688683,"noncoding"
"chr10_430970","chr10",430970,"noncoding"
"chr10_335751","chr10",335751,"noncoding"
"chr10_454866","chr10",454866,"intron"
"chr10_394694","chr10",394694,"noncoding"
"chr10_159116","chr10",159116,"noncoding"
"chr10_519889","chr10",519889,"intron"
"chr10_776743","chr10",776743,"noncoding"
"chr10_983803","chr10",983803,"intron"
"chr10_193448","chr10",193448,"intron"
"chr10_432648","chr10",432648,"exon"
"chr10_194307","chr10",194307,"noncoding"
"chr10_424919","chr10",424919,"noncoding"
"chr10_576954","chr10",576954,"noncoding"
"chr10_792711","chr10",792711,"exon"
"chr10_673023","chr10",673023,"exon"
"chr10_73240","chr10",73240,"intron"
"chr10_654270","chr10",654270,"noncoding"
"chr10_882640","chr10",882640,"intron"
"chr10_460099","chr10",460099,"exon"
"chr10_623447","chr10",623447,"noncoding"
"chr10_676170","chr10",676170,"intron"
"chr10_233080","chr10",233080,"noncoding"
"chr10_127082","chr10",127082,"exon"
"chr10_463763","chr10",463763,"noncoding"
"chr10_897948","chr10",897948,"exon"
"chr10_504935","chr10",504935,"intron"
"chr10_622518","chr10",622518,"exon"
"chr10_725653","chr10",725653,"exon"
"chr10_898563","chr10",898563,"intron"
"chr10_95319","chr10",95319,"exon"
"chr10_328735","chr10",328735,"intron"
"chr10_607469","chr10",607469,"intron"
"chr10_596722","chr10",596722,"exon"
"chr10_71390","chr10",71390,"noncoding"
"chr10_565232","chr10",565232,"noncoding"
"chr10_137557","chr10",137557,"intron"
"chr10_816380","chr10",816380,"intron"
"chr10_644167","chr10",644167,"intron"
"chr10_729747","chr10",729747,"exon"
"chr10_151091","chr10",151091,"intron"
"chr10_206574","chr10",206574,"exon"
"chr10_703510","chr10",703510,"intron"
"chr10_957716","chr10",957716,"noncoding"
"chr10_678811","chr10",678811,"exon"
"chr10_930114","chr10",930114,"intron"
"chr10_179989","chr10",179989,"noncoding"
"chr10_778267","chr10",778267,"intron"
"chr10_600880","chr10",600880,"intron"
"chr10_476728","chr10",476728,"intron"
"chr10_913814","chr10",913814,"exon"
"chr10_185386","chr10",185386,"exon"
"chr10_522312","chr10",522312,"intron"
"chr10_594056","chr10",594056,"exon"
"chr10_328480","chr10",328480,"noncoding"
"chr10_642987","chr10",642987,"noncoding"
"chr10_581763","chr10",581763,"noncoding"
"chr10_39386","chr10",39386,"intron"
"chr10_252452","chr10",252452,"exon"
"chr10_343833","chr10",343833,"exon"
"chr10_602791","chr10",602791,"exon"
"chr10_858979","chr10",858979,"exon"
"chr10_341918","chr10",341918,"noncoding"
"chr10_394228","chr10",394228,"exon"
"chr10_707740","chr10",707740,"noncoding"
"chr10_851592","chr10",851592,"noncoding"
"chr10_21245","chr10",21245,"noncoding"
"chr10_737245","chr10",737245,"intron"
"chr10_453624","chr10",453624,"exon"
"chr10_1108","chr10",1108,"noncoding"
"chr10_210950","chr10",210950,"intron"
"chr10_550039","chr10",550039,"noncoding"
"chr10_586313","chr10",586313,"intron"
"chr10_789053","chr10",789053,"intron"
"chr10_927835","chr10",927835,"intron"
"chr10_770795","chr10",770795,"noncoding"
"chr10_456373","chr10",456373,"exon"
"chr10_39597","chr10",39597,"noncoding"
"chr10_498891","chr10",498891,"exon"
"chr10_423267","chr10",423267,"intron"
"chr10_612849","chr10",612849,"noncoding"
"chr10_845101","chr10",845101,"exon"
"chr10_164948","chr10",164948,"noncoding"
"chr10_419364","chr10",419364,"noncoding"
"chr10_439701","chr10",439701,"noncoding"
"chr10_936297","chr10",936297,"exon"
"chr10_606191","chr10",606191,"intron"
"chr10_128652","chr10",128652,"intron"
"chr10_85989","chr10",85989,"exon"
"chr10_271035","chr10",271035,"intron"
"chr11_707680","chr11",707680,"noncoding"
"chr11_200361","chr11",200361,"noncoding"
"chr11_865894","chr11",865894,"noncoding"
"chr11_719768","chr11",719768,"noncoding"
"chr11_815286","chr11",815286,"exon"
"chr11_400507","chr11",400507,"noncoding"
"chr11_360586","chr11",360586,"exon"
"chr11_142335","chr11",142335,"exon"
"chr11_688362","chr11",688362,"exon"
"chr11_790180","chr11",790180,"noncoding"
"chr11_78501","chr11",78501,"exon"
"chr11_555498","chr11",555498,"exon"
"chr11_959865","chr11",959865,"intron"
"chr11_54910","chr11",54910,"exon"
"chr11_919229","chr11",919229,"intron"
"chr11_820367","chr11",820367,"noncoding"
"chr11_719515","chr11",719515,"intron"
"chr11_95339","chr11",95339,"intron"
"chr11_83835","chr11",83835,"exon"
"chr11_307906","chr11",307906,"noncoding"
"chr11_95642","chr11",95642,"noncoding"
"chr11_906198","chr11",906198,"noncoding"
"chr11_234925","chr11",234925,"intron"
"chr11_348677","chr11",348677,"intron"
"chr11_784595","chr11",784595,"exon"
"chr11_716465","chr11",716465,"intron"
"chr11_256280","chr11",256280,"exon"
"chr11_401245","chr11",401245,"noncoding"
"chr11_282045","chr11",282045,"noncoding"
"chr11_314152","chr11",314152,"intron"
"chr11_576336","chr11",576336,"exon"
"chr11_542757","chr11",542757,"noncoding"
"chr11_909027","chr11",909027,"intron"
"chr11_36900","chr11",36900,"exon"
"chr11_256313","chr11",256313,"noncoding"
"chr11_313292","chr11",313292,"intron"
"chr11_739828","chr11",739828,"intron"
"chr11_108804","chr11",108804,"noncoding"
"chr11_361308","chr11",361308,"intron"
"chr11_363023","chr11",363023,"noncoding"
"chr11_719781","chr11",719781,"noncoding"
"chr11_43269","chr11",43269,"noncoding"
"chr11_997413","chr11",997413,"noncoding"
"chr11_518663","chr11",518663,"intron"
"chr11_426478","chr11",426478,"noncoding"
"chr11_586681","chr11",586681,"noncoding"
"chr11_873244","chr11",873244,"noncoding"
"chr11_595714","chr11",595714,"exon"
"chr11_496285","chr11",496285,"intron"
"chr11_774002","chr11",774002,"noncoding"
"chr11_814225","chr11",814225,"exon"
"chr11_447648","chr11",447648,"exon"
"chr11_411753","chr11",411753,"exon"
"chr11_446977","chr11",446977,"exon"
"chr11_733782","chr11",733782,"noncoding"
"chr11_693375","chr11",693375,"exon"
"chr11_718697","chr11",718697,"noncoding"
"chr11_350760","chr11",350760,"intron"
"chr11_492096","chr11",492096,"exon"
"chr11_64632","chr11",64632,"exon"
"chr11_980794","chr11",980794,"noncoding"
"chr11_582794","chr11",582794,"exon"
"chr11_337354","chr11",337354,"noncoding"
"chr11_17136","chr11",17136,"noncoding"
"chr11_314365","chr11",314365,"exon"
"chr11_200979","chr11",200979,"exon"
"chr11_257759","chr11",257759,"intron"
"chr11_508057","chr11",508057,"exon"
"chr11_376574","chr11",376574,"intron"
"chr11_406912","chr11",406912,"noncoding"
"chr11_221575","chr11",221575,"exon"
"chr11_736191","chr11",736191,"intron"
"chr11_458776","chr11",458776,"noncoding"
"chr11_703104","chr11",703104,"exon"
"chr11_362986","chr11",362986,"intron"
"chr11_557206","chr11",557206,"intron"
"chr11_255121","chr11",255121,"noncoding"
"chr11_593817","chr11",593817,"noncoding"
"chr11_523859","chr11",523859,"intron"
"chr11_375287","chr11",375287,"exon"
"chr11_399416","chr11",399416,"intron"
"chr11_835653","chr11",835653,"noncoding"
"chr11_642479","chr11",642479,"intron"
"chr11_307066","chr11",307066,"intron"
"chr11_585276","chr11",585276,"intron"
"chr11_202325","chr11",202325,"intron"
"chr11_328216","chr11",328216,"intron"
"chr11_458861","chr11",458861,"exon"
"chr11_309608","chr11",309608,"exon"
"chr11_77924","chr11",77924,"exon"
"chr11_300280","chr11",300280,"noncoding"
"chr11_904555","chr11",904555,"intron"
"chr11_36990","chr11",36990,"intron"
"chr11_41733","chr11",41733,"intron"
"chr11_744096","chr11",744096,"exon"
"chr11_197146","chr11",197146,"exon"
"chr11_176367","chr11",176367,"noncoding"
"chr11_627149","chr11",627149,"exon"
"chr11_383213","chr11",383213,"noncoding"
"chr11_763106","chr11",763106,"exon"
"chr12_670982","chr12",670982,"exon"
"chr12_279764","chr12",279764,"intron"
"chr12_320698","chr12",320698,"intron"
"chr12_12423","chr12",12423,"exon"
"chr12_751877","chr12",751877,"intron"
"chr12_493876","chr12",493876,"exon"
"chr12_72198","chr12",72198,"exon"
"chr12_419016","chr12",419016,"exon"
"chr12_877216","chr12",877216,"intron"
"chr12_499179","chr12",499179,"noncoding"
"chr12_761289","chr12",761289,"exon"
"chr12_847387","chr12",847387,"noncoding"
"chr12_167392","chr12",167392,"noncoding"
"chr12_744314","chr12",744314,"exon"
"chr12_720742","chr12",720742,"intron"
"chr12_715677","chr12",715677,"exon"
"chr12_542171","chr12",542171,"intron"
"chr12_986285","chr12",986285,"noncoding"
"chr12_283283","chr12",283283,"noncoding"
"chr12_380251","chr12",380251,"exon"
"chr12_433594","chr12",433594,"noncoding"
"chr12_418062","chr12",418062,"exon"
"chr12_992156","chr12",992156,"intron"
"chr12_362855","chr12",362855,"intron"
"chr12_885635","chr12",885635,"noncoding"
"chr12_846685","chr12",846685,"intron"
"chr12_914546","chr12",914546,"intron"
"chr12_4103","chr12",4103,"noncoding"
"chr12_968336","chr12",968336,"intron"
"chr12_694486","chr12",694486,"exon"
"chr12_505758","chr12",505758,"noncoding"
"chr12_607623","chr12",607623,"intron"
"chr12_869809","chr12",869809,"noncoding"
"chr12_737386","chr12",737386,"noncoding"
"chr12_719306","chr12",719306,"intron"
"chr12_754799","chr12",754799,"intron"
"chr12_932497","chr12",932497,"noncoding"
"chr12_51871","chr12",51871,"exon"
"chr12_612544","chr12",612544,"exon"
"chr12_445407","chr12",445407,"exon"
"chr12_157395","chr12",157395,"noncoding"
"chr12_439754","chr12",439754,"intron"
"chr12_205967","chr12",205967,"noncoding"
"chr12_802521","chr12",802521,"exon"
"chr12_978263","chr12",978263,"intron"
"chr12_401045","chr12",401045,"noncoding"
"chr12_12116","chr12",12116,"intron"
"chr12_886899","chr12",886899,"intron"
"chr12_264919","chr12",264919,"exon"
"chr12_947847","chr12",947847,"noncoding"
"chr12_54229","chr12",54229,"exon"
"chr12_745092","chr12",745092,"exon"
"chr12_854044","chr12",854044,"exon"
"chr12_368708","chr12",368708,"intron"
"chr12_985255","chr12",985255,"exon"
"chr12_167624","chr12",167624,"noncoding"
"chr12_520839","chr12",520839,"noncoding"
"chr12_636510","chr12",636510,"intron"
"chr12_862707","chr12",862707,"noncoding"
"chr12_251758","chr12",251758,"exon"
"chr12_197548","chr12",197548,"intron"
"chr12_249247","chr12",249247,"intron"
"chr12_27128","chr12",27128,"noncoding"
"chr12_474825","chr12",474825,"exon"
"chr12_930144","chr12",930144,"noncoding"
"chr12_210109","chr12",210109,"exon"
"chr12_177433","chr12",177433,"intron"
"chr12_95844","chr12",95844,"intron"
"chr12_165272","chr12",165272,"intron"
"chr12_290509","chr12",290509,"intron"
"chr12_457578","chr12",457578,"noncoding"
"chr12_593950","chr12",593950,"exon"
"chr12_106741","chr12",106741,"intron"
"chr12_690002","chr12",690002,"noncoding"
"chr12_86529","chr12",86529,"noncoding"
"chr12_390473","chr12",390473,"noncoding"
"chr12_747171","chr12",747171,"noncoding"
"chr12_154563","chr12",154563,"intron"
"chr12_812457","chr12",812457,"noncoding"
"chr12_844784","chr12",844784,"intron"
"chr12_492239","chr12",492239,"intron"
"chr12_830268","chr12",830268,"intron"
"chr12_447606","chr12",447606,"exon"
"chr12_252125","chr12",252125,"exon"
"chr12_441132","chr12",441132,"noncoding"
"chr12_94295","chr12",94295,"exon"
"chr12_826744","chr12",826744,"noncoding"
"chr12_773626","chr12",773626,"intron"
"chr12_397336","chr12",397336,"exon"
"chr12_241909","chr12",241909,"exon"
"chr12_395629","chr12",395629,"intron"
"chr12_206926","chr12",206926,"exon"
"chr12_915805","chr12",915805,"exon"
"chr12_221250","chr12",221250,"noncoding"
"chr12_894965","chr12",894965,"noncoding"
"chr12_475226","chr12",475226,"exon"
"chr12_871739","chr12",871739,"exon"
"chr12_755664","chr12",755664,"noncoding"
"chr12_545176","chr12",545176,"exon"
"chr12_370529","chr12",370529,"intron"
"chr13_124517","chr13",124517,"intron"
"chr13_265605","chr13",265605,"noncoding"
"chr13_816632","chr13",816632,"exon"
"chr13_428725","chr13",428725,"exon"
"chr13_499090","chr13",499090,"exon"
"chr13_556287","chr13",556287,"noncoding"
"chr13_943029","chr13",943029,"noncoding"
"chr13_216612","chr13",216612,"intron"
"chr13_332067","chr13",332067,"exon"
"chr13_66958","chr13",66958,"noncoding"
"chr13_937881","chr13",937881,"noncoding"
"chr13_54692","chr13",54692,"exon"
"chr13_434750","chr13",434750,"intron"
"chr13_269134","chr13",269134,"intron"
"chr13_181484","chr13",181484,"noncoding"
"chr13_294805","chr13",294805,"noncoding"
"chr13_162175","chr13",162175,"noncoding"
"chr13_403730","chr13",403730,"intron"
"chr13_767525","chr13",767525,"noncoding"
"chr13_998546","chr13",998546,"intron"
"chr13_504599","chr13",504599,"noncoding"
"chr13_137011","chr13",137011,"intron"
"chr13_477055","chr13",477055,"noncoding"
"chr13_893469","chr13",893469,"noncoding"
"chr13_520897","chr13",520897,"intron"
"chr13_561233","chr13",561233,"noncoding"
"chr13_297864","chr13",297864,"noncoding"
"chr13_798268","chr13",798268,"exon"
"chr13_20845","chr13",20845,"exon"
"chr13_243646","chr13",243646,"intron"
"chr13_470735","chr13",470735,"exon"
"chr13_999474","chr13",999474,"exon"
"chr13_747824","chr13",747824,"noncoding"
"chr13_258203","chr13",258203,"noncoding"
"chr13_896334","chr13",896334,"exon"
"chr13_53434","chr13",53434,"intron"
"chr13_825452","chr13",825452,"exon"
"chr13_859929","chr13",859929,"exon"
"chr13_875774","chr13",875774,"intron"
"chr13_383294","chr13",383294,"noncoding"
"chr13_67757","chr13",67757,"intron"
"chr13_809303","chr13",809303,"intron"
"chr13_927413","chr13",927413,"exon"
"chr13_77108","chr13",77108,"noncoding"
"chr13_204657","chr13",204657,"exon"
"chr13_339028","chr13",339028,"intron"
"chr13_647246","chr13",647246,"intron"
"chr13_584493","chr13",584493,"exon"
"chr13_774304","chr13",774304,"intron"
"chr13_508468","chr13",508468,"intron"
"chr13_189394","chr13",189394,"intron"
"chr13_150437","chr13",150437,"intron"
"chr13_153466","chr13",153466,"exon"
"chr13_335338","chr13",335338,"intron"
"chr13_7756","chr13",7756,"exon"
"chr13_713371","chr13",713371,"intron"
"chr13_721910","chr13",721910,"exon"
"chr13_800887","chr13",800887,"noncoding"
"chr13_492430","chr13",492430,"noncoding"
"chr13_287115","chr13",287115,"exon"
"chr13_919055","chr13",919055,"noncoding"
"chr13_608874","chr13",608874,"exon"
"chr13_891229","chr13",891229,"exon"
"chr13_283965","chr13",283965,"exon"
"chr13_199199","chr13",199199,"noncoding"
"chr13_702812","chr13",702812,"noncoding"
"chr13_236908","chr13",236908,"intron"
"chr13_437767","chr13",437767,"exon"
"chr13_56427","chr13",56427,"exon"
"chr13_79596","chr13",79596,"intron"
"chr13_674932","chr13",674932,"intron"
"chr13_358950","chr13",358950,"intron"
"chr13_612554","chr13",612554,"noncoding"
